model_family,family,lmarena_best,lmarena_median_top,lmarena_votes,lmarena_models,lmarena_open_best,lmarena_closed_best,api_model_count,context_window_max,output_price_min,input_price_min,max_output_tokens,multimodal_models,recent_api_releases,closed_api_models,open_api_models,epoch_model_count,epoch_recent_releases,training_compute_max,parameter_max,open_weight_epoch_share,openllm_best,openllm_top_mean,openllm_metric_count,swebench_best,swebench_submissions,swebench_recent_best,hf_models,hf_downloads,hf_likes,hf_weight_bytes,hf_open_weight_share,github_model_mentions,openalex_paper_mentions,performance_component,release_velocity_component,ecosystem_component,capability_surface_component,cost_efficiency_component,openness_component,frontier_momentum_heuristic_index,frontier_momentum_score,rank,evidence_count,sensitivity_label,analysis_captured_at
GPT,GPT,1619.7821471012762,1566.4951349038147,1039189655.0,61.0,1452.8114366207992,1619.7821471012762,67.0,1050000.0,0.14,0.03,131072.0,52.0,30.0,62.0,5.0,95.0,16.0,3.8e+26,1800000000000.0,0.1368421052631579,0.904,0.723581833354045,212.0,71.8,17.0,56.44,17.0,12213614.0,9872.0,237065257188.0,0.6470588235294118,118.0,496.0,69.24870466321244,100.0,87.16569110977059,73.89415245384569,91.70461784187513,41.44153876556222,78.25,78.25,1,1083.0,stable_top_tier,2026-05-16T17:13:09+00:00
Qwen,Qwen,1549.227871094854,1535.5951486643767,499261632.0,52.0,1549.227871094854,,48.0,1048576.0,0.0999999999999999,0.04,262144.0,20.0,26.0,0.0,47.0,84.0,14.0,1.512e+25,1000000000000.0,0.9404761904761905,0.996,0.9485078651685394,12448.0,60.4,9.0,47.56,165.0,444108683.0,49919.0,4337261886625.0,1.0,76.0,50.0,74.61168294469033,86.78879310344828,80.9258860694906,53.14203439455029,94.62466043063358,97.91666666666666,78.05,78.05,2,12932.0,stable_top_tier,2026-05-16T17:13:09+00:00
Mistral,Mistral,1507.9217319197355,1487.227502567133,397962528.0,23.0,1507.9217319197355,,25.0,262144.0,0.03,0.02,16384.0,21.0,8.0,0.0,24.0,42.0,8.0,2.13e+25,675000000000.0,1.0,0.996,0.8844382406359866,2106.0,,,,87.0,13071574.0,37505.0,423529412212.0,1.0,32.0,79.0,45.79252584577523,35.775862068965516,70.6138038135862,26.116926424877416,100.0,95.1063829787234,54.97,54.97,3,2394.0,weight_sensitive,2026-05-16T17:13:09+00:00
Claude,Claude,1586.928798035784,1576.239171260441,817657637.0,30.0,,1586.928798035784,16.0,1000000.0,1.25,0.25,128000.0,16.0,11.0,16.0,0.0,21.0,6.0,3.3499999999999998e+25,,0.0,,,,79.2,57.0,77.92,4.0,2954.0,37.0,0.0,1.0,208.0,88.0,69.98176620959673,35.84051724137932,57.78624405807851,49.84053457331723,36.120932585783535,55.0,54.1,54.1,4,424.0,weight_sensitive,2026-05-16T17:13:09+00:00
Llama,Llama,1417.226742140817,1408.3238845808696,567709199.0,25.0,1417.226742140817,,26.0,10000000.0,0.03,0.02,32768.0,4.0,1.0,0.0,25.0,66.0,1.0,5.18400000000001e+25,2000000000000.0,0.8939393939393939,1.0,0.9276939604942352,7984.0,40.6,3.0,14.4,246.0,41752033.0,70146.0,804217748723.0,1.0,62.0,157.0,36.74695603556637,2.8125,81.34385788352981,56.91539264031576,100.0,91.60702772404899,53.67,53.67,5,8569.0,weight_sensitive,2026-05-16T17:13:09+00:00
DeepSeek,DeepSeek,1528.507077844067,1512.6767658389367,140158712.0,20.0,1528.507077844067,,15.0,1048576.0,0.224,0.112,384000.0,0.0,8.0,0.0,15.0,38.0,7.0,9.702e+24,1600000000000.0,0.9736842105263158,0.884,0.747919721756025,858.0,,,,99.0,30467096.0,61871.0,4341482658768.0,1.0,86.0,71.0,33.76315256369249,32.963362068965516,78.0039808219095,46.10487202254648,85.89234842315102,92.27043673012318,53.67,53.67,5,1187.0,weight_sensitive,2026-05-16T17:13:09+00:00
Gemini,Gemini,1560.5937993713349,1558.234344965032,1272382233.0,32.0,,1560.5937993713349,18.0,1048756.0,0.3,0.075,65536.0,18.0,11.0,18.0,0.0,52.0,11.0,5.0000000001e+25,562000000000.0,0.0,,,,77.4,3.0,57.93333333333334,,,,,,88.0,90.0,64.56022384009668,49.90301724137932,35.36137990555621,48.343051513326884,80.96757118323632,0.0,51.13,51.13,7,283.0,weight_sensitive,2026-05-16T17:13:09+00:00
Gemma,Gemma,1488.798269314228,1480.2153857307903,231573815.0,14.0,1488.798269314228,,9.0,262144.0,0.08,0.04,32768.0,7.0,4.0,0.0,9.0,22.0,1.0,2.349e+24,31000000000.0,1.0,0.916,0.8442127098321344,1878.0,,,,48.0,44358276.0,24431.0,308882558880.0,1.0,24.0,29.0,38.40051079135106,8.502155172413794,65.68074081955379,16.3548510537358,96.12474841058156,91.91489361702128,45.14,45.14,8,2024.0,weight_sensitive,2026-05-16T17:13:09+00:00
Phi,Phi,1325.1763615409457,1302.055837866837,101549447.0,8.0,1325.1763615409457,,2.0,131072.0,0.14,0.065,128000.0,0.0,1.0,2.0,0.0,15.0,0.0,9.3368077e+23,60800000000.0,0.9333333333333333,1.0,0.9278000000000001,1282.0,,,,49.0,8371866.0,17903.0,68096015149.0,0.9183673469387755,7.0,9.0,22.698369437111452,0.0,48.871026283540914,13.034179132299194,91.70461784187513,83.17687074829931,34.3,34.3,9,1372.0,weight_sensitive,2026-05-16T17:13:09+00:00
Grok,Grok,1571.2656280202125,1561.0330812378975,210483102.0,24.0,,,3.0,2000000.0,2.5,1.25,,3.0,3.0,3.0,0.0,19.0,7.0,5.0000000000001e+26,3000000000000.0,0.05263157894736842,,,,,,,2.0,43711.0,3487.0,0.0,0.0,2.0,5.0,37.58927195032708,23.48060344827586,27.388980215879798,48.1583000374535,0.0,1.8421052631578947,28.4,28.4,10,55.0,weight_sensitive,2026-05-16T17:13:09+00:00
Command,Command,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,0.6666666666666666,,,0.0,0.0,0.0,0.0,0.0,36.666666666666664,2.93,2.93,11,3.0,weight_sensitive,2026-05-16T17:13:09+00:00
