model_family,family,performance_component,release_velocity_component,ecosystem_component,capability_surface_component,cost_efficiency_component,openness_component,frontier_momentum_heuristic_index,frontier_momentum_score,rank,sensitivity_label,analysis_captured_at
Qwen,Qwen,74.61168294469033,87.04166666666667,80.9258860694906,59.41389762491585,94.62466043063358,97.91666666666666,79.16,79.16,1,stable_top_tier,2026-05-16T12:05:27+00:00
GPT,GPT,69.24870466321244,100.0,87.16569110977059,75.57969955030367,91.70461784187513,41.44153876556222,78.54,78.54,2,stable_top_tier,2026-05-16T12:05:27+00:00
Mistral,Mistral,45.79252584577523,37.16666666666667,70.6138038135862,34.984037973394564,100.0,95.1063829787234,56.7,56.7,3,weight_sensitive,2026-05-16T12:05:27+00:00
Claude,Claude,69.98176620959673,37.04166666666667,57.78624405807851,55.604238517602994,36.120932585783535,55.0,55.27,55.27,4,weight_sensitive,2026-05-16T12:05:27+00:00
Llama,Llama,36.74695603556637,4.645833333333334,81.34385788352981,63.50715056736364,100.0,91.60702772404899,55.09,55.09,5,weight_sensitive,2026-05-16T12:05:27+00:00
DeepSeek,DeepSeek,33.76315256369249,34.35416666666667,78.0039808219095,52.68078238606863,85.89234842315102,92.27043673012318,55.01,55.01,6,weight_sensitive,2026-05-16T12:05:27+00:00
Gemini,Gemini,64.56022384009668,51.10416666666667,35.36137990555621,54.20337475482857,80.96757118323632,0.0,52.32,52.32,7,weight_sensitive,2026-05-16T12:05:27+00:00
Gemma,Gemma,38.40051079135106,10.145833333333334,65.68074081955379,28.107840652074167,96.12474841058156,91.91489361702128,47.4,47.4,8,weight_sensitive,2026-05-16T12:05:27+00:00
Phi,Phi,22.698369437111452,1.8333333333333335,48.871026283540914,24.769776277611093,91.70461784187513,83.17687074829931,36.59,36.59,9,weight_sensitive,2026-05-16T12:05:27+00:00
Grok,Grok,37.58927195032708,25.1875,27.388980215879798,48.1583000374535,0.0,1.8421052631578947,28.67,28.67,10,weight_sensitive,2026-05-16T12:05:27+00:00
Command,Command,24.970705105345253,0.0,0.0,5.405347199757477,90.99061766024542,61.666666666666664,23.6,23.6,11,weight_sensitive,2026-05-16T12:05:27+00:00
Cohere,Cohere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,weight_sensitive,2026-05-16T12:05:27+00:00
