model_family,score_p10,score_p50,score_p90,best_rank,median_rank,worst_rank,rank_iqr,current_rank,rank_stability_label,analysis_captured_at
GPT,75.48,78.06,80.49,1,1.0,2,1.0,1,stable,2026-05-16T17:13:09+00:00
Qwen,76.0,77.91,80.07,1,2.0,2,1.0,2,stable,2026-05-16T17:13:09+00:00
Claude,51.41,54.14,57.21,3,4.0,8,3.0,4,moderate,2026-05-16T17:13:09+00:00
Mistral,51.32,54.78,57.86,3,4.0,7,2.0,3,moderate,2026-05-16T17:13:09+00:00
Llama,49.6,53.47,57.43,3,5.0,7,2.0,5,moderate,2026-05-16T17:13:09+00:00
DeepSeek,50.01,53.62,56.72,3,5.0,7,2.0,5,moderate,2026-05-16T17:13:09+00:00
Gemini,48.04,51.5,54.85,3,7.0,8,2.0,7,moderate,2026-05-16T17:13:09+00:00
Gemma,41.39,44.84,48.84,6,8.0,9,0.0,8,stable,2026-05-16T17:13:09+00:00
Phi,30.7,34.36,38.0,9,9.0,10,0.0,9,stable,2026-05-16T17:13:09+00:00
Grok,24.58,28.99,32.82,8,10.0,11,0.0,10,stable,2026-05-16T17:13:09+00:00
Command,4.23,10.3,19.05,10,11.0,11,0.0,11,stable,2026-05-16T17:13:09+00:00
